[9G0I] ✓ Exactas: 0 | Distancia: 412 | Pep: 14 | Fallos: 8
[8UDP] ✓ Exactas: 934 | Distancia: 18 | Pep: 17 | Fallos: 4
[7NBT] ✓ Exactas: 516 | Distancia: 18 | Pep: 9 | Fallos: 4
[7GL4] ✓ Exactas: 560 | Distancia: 13 | Pep: 9 | Fallos: 8
[7GGF] ✓ Exactas: 694 | Distancia: 24 | Pep: 15 | Fallos: 8
[7GND] ✓ Exactas: 532 | Distancia: 13 | Pep: 9 | Fallos: 6
[7GGN] ✓ Exactas: 642 | Distancia: 8 | Pep: 10 | Fallos: 8
[7GFP] ✓ Exactas: 562 | Distancia: 12 | Pep: 11 | Fallos: 8
[7GME] ✓ Exactas: 542 | Distancia: 12 | Pep: 9 | Fallos: 7
[8UEH] ✓ Exactas: 882 | Distancia: 12 | Pep: 17 | Fallos: 8
[7GJK] ✓ Exactas: 303 | Distancia: 9 | Pep: 10 | Fallos: 4
[7RM2] ✓ Exactas: 636 | Distancia: 6 | Pep: 11 | Fallos: 6
[9HJH] ✓ Exactas: 318 | Distancia: 4 | Pep: 12 | Fallos: 2
[7RN4] ✓ Exactas: 640 | Distancia: 8 | Pep: 11 | Fallos: 10
[7GNB] ✓ Exactas: 680 | Distancia: 17 | Pep: 9 | Fallos: 11
[8ZT9] ✓ Exactas: 454 | Distancia: 6 | Pep: 15 | Fallos: 1
[7GMO] ✓ Exactas: 276 | Distancia: 8 | Pep: 9 | Fallos: 6
[7GM9] ✓ Exactas: 595 | Distancia: 15 | Pep: 11 | Fallos: 9
[7GJ2] ✓ Exactas: 643 | Distancia: 22 | Pep: 11 | Fallos: 7
[7GMB] ✓ Exactas: 539 | Distancia: 13 | Pep: 9 | Fallos: 7
[8I4S] ✓ Exactas: 522 | Distancia: 10 | Pep: 14 | Fallos: 0
[7GJJ] ✓ Exactas: 400 | Distancia: 9 | Pep: 12 | Fallos: 5
[9MVM] ✓ Exactas: 276 | Distancia: 4 | Pep: 8 | Fallos: 2
[7GJB] ✓ Exactas: 596 | Distancia: 17 | Pep: 11 | Fallos: 9
[7GKZ] ✓ Exactas: 246 | Distancia: 6 | Pep: 9 | Fallos: 2
[7EN8] ✓ Exactas: 741 | Distancia: 13 | Pep: 14 | Fallos: 8
[7GLL] ✓ Exactas: 582 | Distancia: 13 | Pep: 11 | Fallos: 10
[7GKG] ✓ Exactas: 278 | Distancia: 9 | Pep: 9 | Fallos: 6
[7GG8] ✓ Exactas: 536 | Distancia: 10 | Pep: 8 | Fallos: 8
[7GIH] ✓ Exactas: 582 | Distancia: 17 | Pep: 10 | Fallos: 10
[7GI9] ✓ Exactas: 565 | Distancia: 19 | Pep: 9 | Fallos: 9
[7GJG] ✓ Exactas: 386 | Distancia: 9 | Pep: 12 | Fallos: 5
[7GDZ] ✓ Exactas: 476 | Distancia: 8 | Pep: 9 | Fallos: 8
[7GL5] ✓ Exactas: 555 | Distancia: 15 | Pep: 9 | Fallos: 8
[7GKQ] ✓ Exactas: 556 | Distancia: 14 | Pep: 9 | Fallos: 11
[7GN4] ✓ Exactas: 561 | Distancia: 17 | Pep: 10 | Fallos: 9
[7GB5] ✓ Exactas: 540 | Distancia: 14 | Pep: 8 | Fallos: 6
[7GEI] ✓ Exactas: 554 | Distancia: 18 | Pep: 8 | Fallos: 10
[7GGT] ✓ Exactas: 576 | Distancia: 12 | Pep: 9 | Fallos: 8
[7GKW] ✓ Exactas: 332 | Distancia: 10 | Pep: 10 | Fallos: 4
[7GFB] ✓ Exactas: 574 | Distancia: 18 | Pep: 9 | Fallos: 8
[7US4] ✓ Exactas: 812 | Distancia: 26 | Pep: 14 | Fallos: 6
[7GI6] ✓ Exactas: 592 | Distancia: 18 | Pep: 9 | Fallos: 11
[8R11] ✓ Exactas: 554 | Distancia: 14 | Pep: 9 | Fallos: 8
[7GIT] ✓ Exactas: 533 | Distancia: 16 | Pep: 9 | Fallos: 10
[7GLA] ✓ Exactas: 545 | Distancia: 16 | Pep: 9 | Fallos: 10
[7GJQ] ✓ Exactas: 282 | Distancia: 8 | Pep: 9 | Fallos: 5
[7GM8] ✓ Exactas: 274 | Distancia: 7 | Pep: 9 | Fallos: 5
[8CYZ] ✓ Exactas: 672 | Distancia: 20 | Pep: 11 | Fallos: 10
[7GLH] ✓ Exactas: 270 | Distancia: 7 | Pep: 9 | Fallos: 5
[7GLV] ✓ Exactas: 580 | Distancia: 16 | Pep: 9 | Fallos: 9
[7UR9] ✓ Exactas: 847 | Distancia: 20 | Pep: 15 | Fallos: 5
[7GL9] ✓ Exactas: 589 | Distancia: 15 | Pep: 10 | Fallos: 12
[7GIQ] ✓ Exactas: 561 | Distancia: 15 | Pep: 9 | Fallos: 9
[7GEU] ✓ Exactas: 562 | Distancia: 14 | Pep: 8 | Fallos: 10
[7GKF] ✓ Exactas: 290 | Distancia: 6 | Pep: 9 | Fallos: 5
[7GFE] ✓ Exactas: 814 | Distancia: 16 | Pep: 13 | Fallos: 10
[7GL6] ✓ Exactas: 537 | Distancia: 16 | Pep: 9 | Fallos: 8
[7LTJ] ✓ Exactas: 638 | Distancia: 8 | Pep: 11 | Fallos: 6
[7GFO] ✓ Exactas: 640 | Distancia: 22 | Pep: 11 | Fallos: 12
[7GK9] ✓ Exactas: 593 | Distancia: 16 | Pep: 9 | Fallos: 10
[7GFC] ✓ Exactas: 710 | Distancia: 12 | Pep: 11 | Fallos: 8
[7GLW] ✓ Exactas: 580 | Distancia: 20 | Pep: 9 | Fallos: 7
[7GF0] ✓ Exactas: 572 | Distancia: 14 | Pep: 8 | Fallos: 8
[7GIF] ✓ Exactas: 533 | Distancia: 15 | Pep: 9 | Fallos: 10
[7GF5] ✓ Exactas: 538 | Distancia: 8 | Pep: 9 | Fallos: 4
[7GHE] ✓ Exactas: 596 | Distancia: 12 | Pep: 10 | Fallos: 8
[8ACL] ✓ Exactas: 0 | Distancia: 313 | Pep: 9 | Fallos: 4
[7N44] ✓ Exactas: 0 | Distancia: 912 | Pep: 17 | Fallos: 12
[7GBW] ✓ Exactas: 524 | Distancia: 10 | Pep: 8 | Fallos: 6
[7GKK] ✓ Exactas: 518 | Distancia: 7 | Pep: 9 | Fallos: 9
[7GKT] ✓ Exactas: 315 | Distancia: 9 | Pep: 11 | Fallos: 4
[7GFT] ✓ Exactas: 588 | Distancia: 12 | Pep: 11 | Fallos: 10
[9KSK] ✓ Exactas: 0 | Distancia: 563 | Pep: 19 | Fallos: 8
[7GJP] ✓ Exactas: 326 | Distancia: 8 | Pep: 9 | Fallos: 5
[7GIP] ✓ Exactas: 628 | Distancia: 20 | Pep: 11 | Fallos: 11
[7GI7] ✓ Exactas: 674 | Distancia: 22 | Pep: 13 | Fallos: 10
[9G0H] ✓ Exactas: 0 | Distancia: 364 | Pep: 13 | Fallos: 3
[7GII] ✓ Exactas: 625 | Distancia: 20 | Pep: 11 | Fallos: 12
[7GEJ] ✓ Exactas: 616 | Distancia: 14 | Pep: 9 | Fallos: 10
[7GKX] ✓ Exactas: 261 | Distancia: 8 | Pep: 8 | Fallos: 5
[7GF6] ✓ Exactas: 662 | Distancia: 18 | Pep: 13 | Fallos: 8
[7EN9] ✓ Exactas: 846 | Distancia: 10 | Pep: 16 | Fallos: 8
[7GIS] ✓ Exactas: 553 | Distancia: 16 | Pep: 9 | Fallos: 12
[6M2N] ✓ Exactas: 431 | Distancia: 7 | Pep: 11 | Fallos: 6
[7GIK] ✓ Exactas: 526 | Distancia: 15 | Pep: 9 | Fallos: 11
[9VS1] ✓ Exactas: 518 | Distancia: 6 | Pep: 15 | Fallos: 5
[7L14] ✓ Exactas: 759 | Distancia: 10 | Pep: 15 | Fallos: 3
[7GJV] ✓ Exactas: 602 | Distancia: 13 | Pep: 10 | Fallos: 10
[8ACD] ✓ Exactas: 0 | Distancia: 341 | Pep: 11 | Fallos: 2
[7GK3] ✓ Exactas: 281 | Distancia: 7 | Pep: 9 | Fallos: 6
[7GIN] ✓ Exactas: 289 | Distancia: 7 | Pep: 9 | Fallos: 5
[7GL3] ✓ Exactas: 547 | Distancia: 12 | Pep: 9 | Fallos: 8
[7LMD] ✓ Exactas: 676 | Distancia: 24 | Pep: 12 | Fallos: 8
[5RH3] ✓ Exactas: 514 | Distancia: 12 | Pep: 8 | Fallos: 10
[7GGA] ✓ Exactas: 610 | Distancia: 18 | Pep: 9 | Fallos: 10
[7GKJ] ✓ Exactas: 724 | Distancia: 21 | Pep: 14 | Fallos: 8
[7GIV] ✓ Exactas: 574 | Distancia: 16 | Pep: 9 | Fallos: 11
[7GE8] ✓ Exactas: 588 | Distancia: 12 | Pep: 10 | Fallos: 8
[7GBZ] ✓ Exactas: 472 | Distancia: 4 | Pep: 8 | Fallos: 4
[9LVR] ✓ Exactas: 332 | Distancia: 5 | Pep: 14 | Fallos: 6
[8YKJ] ✓ Exactas: 634 | Distancia: 2 | Pep: 13 | Fallos: 2
[7GK7] ✓ Exactas: 400 | Distancia: 11 | Pep: 12 | Fallos: 5
[7GJL] ✓ Exactas: 293 | Distancia: 8 | Pep: 11 | Fallos: 5
[7GHN] ✓ Exactas: 772 | Distancia: 9 | Pep: 15 | Fallos: 5
[7L0D] ✓ Exactas: 0 | Distancia: 632 | Pep: 12 | Fallos: 14
[7DDC] ✓ Exactas: 362 | Distancia: 0 | Pep: 8 | Fallos: 0
[7GGR] ✓ Exactas: 558 | Distancia: 14 | Pep: 8 | Fallos: 10
[7GNQ] ✓ Exactas: 619 | Distancia: 16 | Pep: 13 | Fallos: 8
[7GLN] ✓ Exactas: 550 | Distancia: 13 | Pep: 9 | Fallos: 8
[7GK2] ✓ Exactas: 357 | Distancia: 8 | Pep: 12 | Fallos: 5
[7GEN] ✓ Exactas: 506 | Distancia: 10 | Pep: 8 | Fallos: 4
[7L12] ✓ Exactas: 916 | Distancia: 18 | Pep: 17 | Fallos: 6
[7GJ8] ✓ Exactas: 558 | Distancia: 16 | Pep: 9 | Fallos: 9
[7GLE] ✓ Exactas: 282 | Distancia: 6 | Pep: 10 | Fallos: 6
[9DDG] ✓ Exactas: 0 | Distancia: 373 | Pep: 12 | Fallos: 9
[7GFD] ✓ Exactas: 702 | Distancia: 12 | Pep: 14 | Fallos: 6
[7GKV] ✓ Exactas: 555 | Distancia: 13 | Pep: 9 | Fallos: 12
[7GJ5] ✓ Exactas: 266 | Distancia: 8 | Pep: 9 | Fallos: 5
[7GJF] ✓ Exactas: 709 | Distancia: 20 | Pep: 12 | Fallos: 9
[7GH4] ✓ Exactas: 586 | Distancia: 14 | Pep: 8 | Fallos: 6
[8W1U] ✓ Exactas: 687 | Distancia: 17 | Pep: 13 | Fallos: 7
[5RH2] ✓ Exactas: 502 | Distancia: 12 | Pep: 8 | Fallos: 6
[7O46] ✓ Exactas: 526 | Distancia: 8 | Pep: 10 | Fallos: 6
[7GBD] ✓ Exactas: 690 | Distancia: 10 | Pep: 13 | Fallos: 8
[7GFN] ✓ Exactas: 648 | Distancia: 24 | Pep: 13 | Fallos: 10
[7GGW] ✓ Exactas: 588 | Distancia: 14 | Pep: 9 | Fallos: 10
[7L10] ✓ Exactas: 582 | Distancia: 10 | Pep: 10 | Fallos: 6
[7GI4] ✓ Exactas: 689 | Distancia: 13 | Pep: 14 | Fallos: 10
[7GLC] ✓ Exactas: 285 | Distancia: 8 | Pep: 9 | Fallos: 3
[7QBB] ✓ Exactas: 576 | Distancia: 14 | Pep: 10 | Fallos: 8
[7GH0] ✓ Exactas: 596 | Distancia: 12 | Pep: 9 | Fallos: 8
[7GN3] ✓ Exactas: 288 | Distancia: 7 | Pep: 9 | Fallos: 5
[7GNL] ✓ Exactas: 705 | Distancia: 16 | Pep: 11 | Fallos: 9
[7GMJ] ✓ Exactas: 559 | Distancia: 17 | Pep: 9 | Fallos: 8
[7M8N] ✓ Exactas: 0 | Distancia: 858 | Pep: 18 | Fallos: 11
[8UEF] ✓ Exactas: 868 | Distancia: 16 | Pep: 16 | Fallos: 6
[7GET] ✓ Exactas: 544 | Distancia: 16 | Pep: 8 | Fallos: 8
[7GN1] ✓ Exactas: 334 | Distancia: 9 | Pep: 11 | Fallos: 5
[7GLT] ✓ Exactas: 603 | Distancia: 14 | Pep: 11 | Fallos: 8
[7GID] ✓ Exactas: 504 | Distancia: 15 | Pep: 9 | Fallos: 9
[7GM2] ✓ Exactas: 676 | Distancia: 16 | Pep: 10 | Fallos: 9
[7GN0] ✓ Exactas: 297 | Distancia: 9 | Pep: 11 | Fallos: 5
[7GIZ] ✓ Exactas: 592 | Distancia: 15 | Pep: 9 | Fallos: 11
[7GKO] ✓ Exactas: 557 | Distancia: 14 | Pep: 9 | Fallos: 12
[7M8P] ✓ Exactas: 0 | Distancia: 418 | Pep: 19 | Fallos: 5
[7GBE] ✓ Exactas: 536 | Distancia: 10 | Pep: 8 | Fallos: 8
[7GEZ] ✓ Exactas: 512 | Distancia: 8 | Pep: 8 | Fallos: 8
[7GKA] ✓ Exactas: 551 | Distancia: 15 | Pep: 9 | Fallos: 11
[7GGJ] ✓ Exactas: 610 | Distancia: 16 | Pep: 9 | Fallos: 8
[7GMU] ✓ Exactas: 274 | Distancia: 6 | Pep: 9 | Fallos: 8
[8YLS] ✓ Exactas: 344 | Distancia: 0 | Pep: 10 | Fallos: 1
[7GMY] ✓ Exactas: 306 | Distancia: 9 | Pep: 10 | Fallos: 5
[7GNR] ✓ Exactas: 580 | Distancia: 18 | Pep: 9 | Fallos: 10
[7GJA] ✓ Exactas: 615 | Distancia: 16 | Pep: 13 | Fallos: 10
[8Y44] ✓ Exactas: 381 | Distancia: 6 | Pep: 13 | Fallos: 3
[9DDF] ✓ Exactas: 0 | Distancia: 306 | Pep: 11 | Fallos: 6
[7GML] ✓ Exactas: 528 | Distancia: 14 | Pep: 9 | Fallos: 8
[8Y42] ✓ Exactas: 418 | Distancia: 7 | Pep: 16 | Fallos: 2
[7GKM] ✓ Exactas: 551 | Distancia: 15 | Pep: 9 | Fallos: 8
[7GBL] ✓ Exactas: 662 | Distancia: 8 | Pep: 14 | Fallos: 10
[7GN5] ✓ Exactas: 638 | Distancia: 18 | Pep: 11 | Fallos: 10
[7GJT] ✓ Exactas: 389 | Distancia: 9 | Pep: 15 | Fallos: 3
[7GD3] ✓ Exactas: 622 | Distancia: 16 | Pep: 11 | Fallos: 18
[9GIJ] ✓ Exactas: 702 | Distancia: 12 | Pep: 13 | Fallos: 10
[7GGB] ✓ Exactas: 480 | Distancia: 8 | Pep: 8 | Fallos: 8
[7GL2] ✓ Exactas: 608 | Distancia: 16 | Pep: 11 | Fallos: 8
[7GBN] ✓ Exactas: 708 | Distancia: 12 | Pep: 14 | Fallos: 8
[7GLJ] ✓ Exactas: 609 | Distancia: 14 | Pep: 11 | Fallos: 9
[7L11] ✓ Exactas: 761 | Distancia: 12 | Pep: 15 | Fallos: 5
[7GIX] ✓ Exactas: 597 | Distancia: 16 | Pep: 11 | Fallos: 10
[7RMZ] ✓ Exactas: 684 | Distancia: 4 | Pep: 11 | Fallos: 4
[7GI8] ✓ Exactas: 579 | Distancia: 17 | Pep: 9 | Fallos: 11
[7GMN] ✓ Exactas: 277 | Distancia: 8 | Pep: 8 | Fallos: 5
[7GFI] ✓ Exactas: 582 | Distancia: 12 | Pep: 12 | Fallos: 8
[7RMT] ✓ Exactas: 666 | Distancia: 4 | Pep: 12 | Fallos: 4
[8DII] ✓ Exactas: 510 | Distancia: 12 | Pep: 7 | Fallos: 6
[7GAV] ✓ Exactas: 499 | Distancia: 15 | Pep: 9 | Fallos: 10
[7GEK] ✓ Exactas: 508 | Distancia: 12 | Pep: 8 | Fallos: 10
[7GGS] ✓ Exactas: 602 | Distancia: 10 | Pep: 9 | Fallos: 6
[7GNT] ✓ Exactas: 690 | Distancia: 20 | Pep: 11 | Fallos: 10
[8R14] ✓ Exactas: 573 | Distancia: 7 | Pep: 7 | Fallos: 5
[7GBX] ✓ Exactas: 556 | Distancia: 18 | Pep: 8 | Fallos: 8
[7GGG] ✓ Exactas: 626 | Distancia: 12 | Pep: 10 | Fallos: 10
[7GD4] ✓ Exactas: 668 | Distancia: 16 | Pep: 10 | Fallos: 12
[7RMB] ✓ Exactas: 604 | Distancia: 6 | Pep: 11 | Fallos: 4
[7GH3] ✓ Exactas: 452 | Distancia: 2 | Pep: 8 | Fallos: 4
[8CZ7] ✓ Exactas: 660 | Distancia: 21 | Pep: 11 | Fallos: 12
[7GHB] ✓ Exactas: 630 | Distancia: 12 | Pep: 10 | Fallos: 10
[7VTH] ✓ Exactas: 805 | Distancia: 6 | Pep: 13 | Fallos: 8
[7GLZ] ✓ Exactas: 538 | Distancia: 14 | Pep: 9 | Fallos: 9
[7GM4] ✓ Exactas: 548 | Distancia: 14 | Pep: 9 | Fallos: 9
[7GJ4] ✓ Exactas: 271 | Distancia: 6 | Pep: 9 | Fallos: 4
[7GE4] ✓ Exactas: 586 | Distancia: 14 | Pep: 9 | Fallos: 8
[7GBI] ✓ Exactas: 546 | Distancia: 14 | Pep: 8 | Fallos: 6
[7GAW] ✓ Exactas: 606 | Distancia: 18 | Pep: 11 | Fallos: 8
[8CYU] ✓ Exactas: 689 | Distancia: 20 | Pep: 12 | Fallos: 12
[7GK4] ✓ Exactas: 247 | Distancia: 8 | Pep: 9 | Fallos: 6
[7GMH] ✓ Exactas: 542 | Distancia: 15 | Pep: 9 | Fallos: 7
[7GG2] ✓ Exactas: 580 | Distancia: 18 | Pep: 9 | Fallos: 8
[7GHM] ✓ Exactas: 830 | Distancia: 11 | Pep: 16 | Fallos: 6
[7GES] ✓ Exactas: 586 | Distancia: 18 | Pep: 10 | Fallos: 6
[7GJ0] ✓ Exactas: 632 | Distancia: 18 | Pep: 11 | Fallos: 9
[7GCV] ✓ Exactas: 694 | Distancia: 8 | Pep: 14 | Fallos: 8
[7NEO] ✓ Exactas: 538 | Distancia: 2 | Pep: 9 | Fallos: 4
[7GM7] ✓ Exactas: 543 | Distancia: 17 | Pep: 9 | Fallos: 8
[7GFQ] ✓ Exactas: 526 | Distancia: 12 | Pep: 8 | Fallos: 6
[9KSI] ✓ Exactas: 0 | Distancia: 517 | Pep: 19 | Fallos: 12
[7GDD] ✓ Exactas: 584 | Distancia: 18 | Pep: 8 | Fallos: 8
[7RLS] ✓ Exactas: 646 | Distancia: 6 | Pep: 12 | Fallos: 6
[7GMI] ✓ Exactas: 563 | Distancia: 14 | Pep: 9 | Fallos: 9
[7GCQ] ✓ Exactas: 556 | Distancia: 14 | Pep: 8 | Fallos: 8
[7GN6] ✓ Exactas: 312 | Distancia: 8 | Pep: 9 | Fallos: 3
[7GEL] ✓ Exactas: 556 | Distancia: 6 | Pep: 8 | Fallos: 6
[7GDC] ✓ Exactas: 558 | Distancia: 14 | Pep: 8 | Fallos: 8
[7URB] ✓ Exactas: 868 | Distancia: 16 | Pep: 15 | Fallos: 8
[7GMC] ✓ Exactas: 544 | Distancia: 14 | Pep: 9 | Fallos: 7
[7GF2] ✓ Exactas: 588 | Distancia: 14 | Pep: 8 | Fallos: 8
[7GN2] ✓ Exactas: 577 | Distancia: 17 | Pep: 9 | Fallos: 9
[7GGK] ✓ Exactas: 676 | Distancia: 18 | Pep: 11 | Fallos: 10
[7GM6] ✓ Exactas: 618 | Distancia: 14 | Pep: 9 | Fallos: 9
[7GK5] ✓ Exactas: 548 | Distancia: 14 | Pep: 9 | Fallos: 11
[7GLY] ✓ Exactas: 558 | Distancia: 15 | Pep: 10 | Fallos: 10
[7GH1] ✓ Exactas: 516 | Distancia: 8 | Pep: 8 | Fallos: 12
[7GJO] ✓ Exactas: 299 | Distancia: 7 | Pep: 9 | Fallos: 5
[7M90] ✓ Exactas: 0 | Distancia: 836 | Pep: 19 | Fallos: 14
[7GLG] ✓ Exactas: 570 | Distancia: 14 | Pep: 9 | Fallos: 10
[7GE9] ✓ Exactas: 504 | Distancia: 12 | Pep: 8 | Fallos: 8
[7CA8] ✓ Exactas: 219 | Distancia: 0 | Pep: 7 | Fallos: 1
[7GFR] ✓ Exactas: 576 | Distancia: 16 | Pep: 8 | Fallos: 8
[7GG7] ✓ Exactas: 690 | Distancia: 26 | Pep: 14 | Fallos: 10
[5RGX] ✓ Exactas: 580 | Distancia: 14 | Pep: 9 | Fallos: 8
[8YLS] ✓ Exactas: 344 | Distancia: 0 | Pep: 10 | Fallos: 1
[7GN6] ✓ Exactas: 312 | Distancia: 8 | Pep: 9 | Fallos: 3
[7GKZ] ✓ Exactas: 246 | Distancia: 6 | Pep: 9 | Fallos: 2
[7GKW] ✓ Exactas: 332 | Distancia: 10 | Pep: 10 | Fallos: 4
[7GF0] ✓ Exactas: 572 | Distancia: 14 | Pep: 8 | Fallos: 8
[7EN8] ✓ Exactas: 741 | Distancia: 13 | Pep: 14 | Fallos: 8
[7GEJ] ✓ Exactas: 616 | Distancia: 14 | Pep: 9 | Fallos: 10
[7GET] ✓ Exactas: 544 | Distancia: 16 | Pep: 8 | Fallos: 8
[8ZUB] ✓ Exactas: 449 | Distancia: 8 | Pep: 14 | Fallos: 5
[7GGQ] ✓ Exactas: 588 | Distancia: 16 | Pep: 9 | Fallos: 8
[7M8Y] ✓ Exactas: 0 | Distancia: 816 | Pep: 17 | Fallos: 6
[9NU6] ✓ Exactas: 441 | Distancia: 3 | Pep: 13 | Fallos: 5
